Bits,Network mask,Host Totales,Class,Network Address,Usable Host Range,Broadcast Address
21,255.255.248.25,"2,046",B,193.168.200.0,193.168.200.1 - 193.168.207.254,193.168.207.255
21,255.255.248.26,"2,046",B,193.168.208.0,193.168.208.1 - 193.168.215.254,193.168.215.255
21,255.255.248.27,"2,046",B,193.168.216.0,193.168.216.1 - 193.168.223.254,193.168.223.255
21,255.255.248.28,"2,046",B,193.168.224.0,193.168.224.1 - 193.168.231.254,193.168.231.255
21,255.255.248.29,"2,046",B,193.168.232.0,193.168.232.1 - 193.168.239.254,193.168.239.255
21,255.255.248.30,"2,046",B,193.168.240.0,193.168.240.1 - 193.168.247.254,193.168.247.255
21,255.255.248.31,"2,046",B,193.168.248.0,193.168.248.1 - 193.168.255.254,193.168.255.255
22,255.255.252.0,"1,022",B,193.168.0.0,193.168.0.1 - 193.168.3.254,193.168.3.255
22,255.255.252.1,"1,022",B,193.168.4.0,193.168.4.1 - 193.168.7.254,193.168.7.255
22,255.255.252.2,"1,022",B,193.168.8.0,193.168.8.1 - 193.168.11.254,193.168.11.255
22,255.255.252.3,"1,022",B,193.168.12.0,193.168.12.1 - 193.168.15.254,193.168.15.255
22,255.255.252.4,"1,022",B,193.168.16.0,193.168.16.1 - 193.168.19.254,193.168.19.255
22,255.255.252.5,"1,022",B,193.168.20.0,193.168.20.1 - 193.168.23.254,193.168.23.255
22,255.255.252.6,"1,022",B,193.168.24.0,193.168.24.1 - 193.168.27.254,193.168.27.255
22,255.255.252.7,"1,022",B,193.168.28.0,193.168.28.1 - 193.168.31.254,193.168.31.255
22,255.255.252.8,"1,022",B,193.168.32.0,193.168.32.1 - 193.168.35.254,193.168.35.255
22,255.255.252.9,"1,022",B,193.168.36.0,193.168.36.1 - 193.168.39.254,193.168.39.255
22,255.255.252.10,"1,022",B,193.168.40.0,193.168.40.1 - 193.168.43.254,193.168.43.255
22,255.255.252.11,"1,022",B,193.168.44.0,193.168.44.1 - 193.168.47.254,193.168.47.255
22,255.255.252.12,"1,022",B,193.168.48.0,193.168.48.1 - 193.168.51.254,193.168.51.255
